Arg.,N.1,Unnamed: 4,TITOLO,BIBLIO,N.INV.,COLORE
100,37,VOLTAIRE,Trattato Sulla Tolleranza,B1_Centrale,2403,V
100,42,ILLUMINATI AUGUSTO,Jean Jacques Rousseau,B1_Centrale,3022,V
100,73,CASANOVA GIACOMO,Pensieri Libertini,B1_Centrale,8739,V
100,78,HARRIS THOMAS A.,"Io Sono Ok,Tu Sei Ok",B1_Centrale,8675,V
100,80,MANTOVANI GIUSEPPE,Qualita' (La) Dell'Interazione Uomo-Computer,B1_Centrale,9423,V
100,88,VERNANT J.P.,Mito E Pensiero Presso I Greci,B1_Centrale,8493,V
100,89,FREUD S.,Totem E Tabu',B1_Centrale,9232,V
100,113,BURBATTI - CASTOLDI,Il Pianeta Degli Adolescenti,B1_Centrale,101387,V
100,118,FROMM ERICH,Avere O Essere,B1_Centrale,101675,V
100,137,ECO UMBERTO,Kant e l'Ornitorinco,B1_Centrale,omaggio,V
100,146,ODIFREDDI PIERGIORGIO,Il Computer di Dio,B1_Centrale,omaggio,V
100,154,CORDA - MARELLO,Lessico Insegnarlo e Impararlo,B1_Centrale,10883,V
100,155,CAON - ONGINI,Intercultura nel pallone Italiano L2,B1_Centrale,10884,V
100,156,CAON - RUTKA,La Lingua in Gioco Italiano L2,B1_Centrale,10885,V
100,157,MOLLICA ANTHONY,Ludolinguistica e Glottodidattica,B1_Centrale,10886,V
100,158,BRUGNOLO - MOZZI,Ricettario di Scrittura Creativa,B1_Centrale,10887,V
200,26,AA.VV.,Corano (Il),B1_Centrale,3297,V
200,29,AA.VV.,Vangelo (Il),B1_Centrale,3202,V
200,48,JIM KOEN TCHAO,Confucianesimo (Il),B1_Centrale,7438,V
200,49,SATORI BHAUTE BROKKI,Shintoismo (Lo),B1_Centrale,7439,V
200,50,JOANNES FERNANDO,Ebraismo (L'),B1_Centrale,7433,V
200,51,RONCHI SERGIO,Protestantesimo (Il),B1_Centrale,7434,V
200,52,PEIRONE FEDERICO,Islamismo (L'),B1_Centrale,7435,V
200,53,ANGELINI IGNAZIA MAR,Cattolicesimo (Il),B1_Centrale,7436,V
200,54,CONIO CATERINA,Induismo (L'),B1_Centrale,7437,V
200,112,ODIFREDDI PIERGIORGIO,Il Vangelo Secondo La Scienza,B1_Centrale,101409,V
300,96,CAPITINI ALDO,"Non (La) Violenza, Oggi",B1_Centrale,151,V
300,183,GRAMSCI ANTONIO,Quaderni Dal Carcere,B1_Centrale,1649,V
300,211,GANDHI M.K.,Teoria E Pratica Della Non Violenza,B1_Centrale,2102,V
300,258,SCIASCIA LEONARDO,Affaire (L') Moro,B1_Centrale,2409,V
300,269,VANZETTI BARTOLOMEO,Caso (Il) Sacco E Vanzetti,B1_Centrale,2498,V
800,236,DE SANCTIS FRANCESCO,Saggi Critici,B1_Centrale,990,V
800,238,FUBINI MARIO,Romanticismo Italiano,B1_Centrale,992,V
800,251,BALDINI GARIELE,Manualetto Shakespeariano,B1_Centrale,1005,V
800,283,CECHOV ANTON,Giardino (Il) Dei Ciliegi,B1_Centrale,1611,V
800,285,MAURO WALTER,Sciascia,B1_Centrale,1616,V
800,286,LONGOBARDI FULVIO,Moravia,B1_Centrale,1617,V
800,287,LIVI FRANCOIS,Camus,B1_Centrale,1618,V
800,288,MANACORDA GIULIANO,Montale,B1_Centrale,1619,V
800,289,SALVESTRONI SIMONETT,Tomasi Di Lampedusa,B1_Centrale,1626,V
800,290,PINCHERA ANTONIO,Saba,B1_Centrale,1627,V
800,292,JESI FURIO,Brecht,B1_Centrale,1629,V
800,293,ZAGAZZIO GIUSEPPE,Quasimodo,B1_Centrale,1630,V
800,294,ANZAINO TOMMASO,Pasolini,B1_Centrale,1631,V
800,295,BRIOSI SANDRO,Vittorini,B1_Centrale,1632,V
800,297,JESI FURIO,Thomas Mann,B1_Centrale,1643,V
800,298,TARIZZO DOMENICO,Proust,B1_Centrale,1644,V
800,307,MELIS ANTONIO,Neruda,B1_Centrale,2035,V
800,308,LUTI GIORGIO,Italo Svevo,B1_Centrale,2036,V
800,310,MASTERS EDGAR LEE,Antologia Di Spoon River,B1_Centrale,2104,V
800,312,NERUDA PABLO,Poesie,B1_Centrale,2137,V
800,314,GUILLEN NICOLAS,Qualche (In) Punto Della Primavera,B1_Centrale,2124,V
800,318,FERTONANI ROBERTO,Brecht,B1_Centrale,2139,V
800,321,DE CASTRIS ARCANGELO,Storia Di Pirandello,B1_Centrale,2235,V
800,330,SANGUINETI EDOARDO,Studi (Tre) Danteschi,B1_Centrale,2302,V
800,336,DEL SERRA,Giovanni Pascoli,B1_Centrale,2356,V
800,337,TELLINI,Alessandro Manzoni,B1_Centrale,2357,V
800,338,LAFFI - NARDI,Gabriele D'Annunzio,B1_Centrale,2358,V
800,339,ASOR ROSA ALBERTO,Eta' (L') Del Decadentismo E Della Crisi,B1_Centrale,2368,V
800,341,LUGNANI LUCIO,Gozzano,B1_Centrale,2365,V
800,342,VINCENTI FIORA,Lalla Romano,B1_Centrale,2361,V
800,343,SERENI ADRIANO,Gadda,B1_Centrale,2364,V
800,344,PESCIO BOTTINO GERMA,Calvino,B1_Centrale,2363,V
800,345,VARANINI GIORGIO,Bassani,B1_Centrale,2362,V
800,346,VARDIA FERDINANDO,Silone,B1_Centrale,2367,V
800,349,GOZZANO GUIDO,Poesie Scelte,B1_Centrale,2470,V
800,350,DE MARIA LUCIANO,Marinetti E Il Futurismo,B1_Centrale,2478,V
800,513,CROTTI ILARIA,Dino Buzzati,B1_Centrale,5865,V
800,514,ANCESCHI LUCIANO,Che Cosa E' La Poesia,B1_Centrale,6130,V
800,515,MAZZACURATI GIANCARL,Pirandello Nel Romanzo Europeo,B1_Centrale,6344,V
800,521,FERRARIS ANGIOLA,Ultimo (L') Leopardi,B1_Centrale,6313,V
800,522,CARDUCCI GIOSUE',Poesie,B1_Centrale,6301,V
800,523,PASCOLI GIOVANNI,Poesia,B1_Centrale,6340,V
800,539,ASOR ROSA ALBERTO,Scrittori E Popolo,B1_Centrale,6760,V
800,543,ALIGHIERI DANTE,Divina (La) Commedia,B1_Centrale,7121,V
800,544,ANTONELLI SERGIO,M'Illumino D'Immenso,B1_Centrale,6887,V
800,548,FLAUBERT GUSTAVE,Dizionario Delle Idee Comuni,B1_Centrale,6772,V
800,550,PESSOA FERNANDO,Poeta (Il) E' Un Fingitore,B1_Centrale,7250,V
800,551,RUSSO,Personaggi Dei Promessi Sposi,B1_Centrale,7196,V
800,552,SERMONTI VITTORIO,Inferno (L') Di Dante,B1_Centrale,7243,V
800,555,DE SANCTIS FRANCESCO,Saggi Danteschi,B1_Centrale,7371,V
N,11,SIMENON GEORGE,Romanzi Autobiografici,B1_Centrale,1406,V
N,73,PAVESE CESARE,Lettere 1926-1950 (1),B1_Centrale,1468,V
N,74,PAVESE CESARE,Lettere 1926-1950 (2),B1_Centrale,1469,V
N,110,DIDEROT DENIS,Nipote (Il) Di Rameau / Jacques Il Fatalista,B1_Centrale,1345,V
N,162,GONCAROV IVAN A.,Oblomov,B1_Centrale,1477,V
N,176,PRATOLINI VASCO,Metello,B1_Centrale,1491,V
N,195,FALLACI ORIANA,Lettera a un bambino mai nato,B1_Centrale,1680,V
N,204,FO DARIO,Commedie (Le) Di Dario Fo,B1_Centrale,2136,V
N,216,MILANI DON LORENZO,Lettere,B1_Centrale,2100,V
N,231,VANZETTI BARTOLOMEO,Autobiografia,B1_Centrale,2191,V
N,245,ROLFI BECCARIA LIDIA,Donne (Le) Di Ravensbruck,B1_Centrale,2258,V
N,268,MASSUCCO RENATO,Trenta (Le) Giornate Del Boia,B1_Centrale,2382,V
N,283,CALDWELL ERSKIN,Via (La) Del Tabacco,B1_Centrale,2482,V
N,293,SOLDATI MARIO,Novelle (44) Per L'Estate,B1_Centrale,2466,V
N,335,SCIASCIA LEONARDO,Consiglio (Il) D'Egitto,B1_Centrale,2593,V
N,336,MORANTE ELSA,Mondo (Il) Salvato Dai Ragazzini,B1_Centrale,2587,V
N,337,AA.VV.,Ultime Lettere Da Stalingrado,B1_Centrale,2589,V
N,354,SOLDATI MARIO,Novelle (55) Per L' Inverno,B1_Centrale,2739,V
N,365,STEINBECK JOHN,Red (The) Pony,B1_Centrale,2804,V
